Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Parabacteroides distasonis strain JCM 5825 16S ribosomal RNA, partial sequence",Parabacteroides distasonis,265,265,100%,1e-70,85.77,1488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041342.1?report=genbank&log$=nucltop&blast_rank=11&RID=8SCDDADF01N"",""NR_041342.1"")"
"Porphyromonas pasteri strain KUFDS01 16S ribosomal RNA, partial sequence",Porphyromonas pasteri,259,259,100%,5e-69,85.43,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136788.1?report=genbank&log$=nucltop&blast_rank=12&RID=8SCDDADF01N"",""NR_136788.1"")"
"Pontibacter indicus strain LP100 16S ribosomal RNA, partial sequence",Pontibacter indicus,254,254,100%,2e-67,85.16,1426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_125665.1?report=genbank&log$=nucltop&blast_rank=13&RID=8SCDDADF01N"",""NR_125665.1"")"
"Pontibacter amylolyticus strain 9-2 16S ribosomal RNA, partial sequence",Pontibacter amylolyticus,254,254,100%,2e-67,85.16,1446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_148858.1?report=genbank&log$=nucltop&blast_rank=14&RID=8SCDDADF01N"",""NR_148858.1"")"
"Porphyromonas catoniae ATCC 51270 strain JCM 13863 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,254,254,100%,2e-67,85.04,1451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113082.1?report=genbank&log$=nucltop&blast_rank=15&RID=8SCDDADF01N"",""NR_113082.1"")"
"Porphyromonas catoniae ATCC 51270 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,250,250,100%,3e-66,84.65,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026230.1?report=genbank&log$=nucltop&blast_rank=16&RID=8SCDDADF01N"",""NR_026230.1"")"
"Pontibacter virosus strain W14 16S ribosomal RNA, partial sequence",Pontibacter virosus,243,243,100%,5e-64,84.44,1430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_152664.1?report=genbank&log$=nucltop&blast_rank=17&RID=8SCDDADF01N"",""NR_152664.1"")"
"Pontibacter lucknowensis strain DM9 16S ribosomal RNA, partial sequence",Pontibacter lucknowensis,243,243,100%,5e-64,84.44,1400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109478.1?report=genbank&log$=nucltop&blast_rank=18&RID=8SCDDADF01N"",""NR_109478.1"")"
"Porphyromonas crevioricanis strain NUM 402 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,243,243,100%,5e-64,84.38,1454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104834.1?report=genbank&log$=nucltop&blast_rank=19&RID=8SCDDADF01N"",""NR_104834.1"")"
"Pontibacter salisaro strain HMC5104 16S ribosomal RNA, partial sequence",Pontibacter salisaro,243,243,100%,5e-64,84.44,1401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_116853.1?report=genbank&log$=nucltop&blast_rank=20&RID=8SCDDADF01N"",""NR_116853.1"")"
"Porphyromonas crevioricanis strain ATCC 55563 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,243,243,100%,5e-64,84.38,1261,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115856.1?report=genbank&log$=nucltop&blast_rank=21&RID=8SCDDADF01N"",""NR_115856.1"")"
"Pontibacter jeungdoensis strain HMD3125 16S ribosomal RNA, partial sequence",Pontibacter jeungdoensis,243,243,100%,5e-64,84.38,1399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_132696.1?report=genbank&log$=nucltop&blast_rank=22&RID=8SCDDADF01N"",""NR_132696.1"")"
"Porphyromonas crevioricanis strain JCM 15906 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,243,243,100%,5e-64,84.38,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113084.1?report=genbank&log$=nucltop&blast_rank=23&RID=8SCDDADF01N"",""NR_113084.1"")"
"Porphyromonas crevioricanis strain JCM 13913 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,243,243,100%,5e-64,84.38,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113081.1?report=genbank&log$=nucltop&blast_rank=24&RID=8SCDDADF01N"",""NR_113081.1"")"
"Pontibacter ramchanderi strain LP43 16S ribosomal RNA, partial sequence",Pontibacter ramchanderi,243,243,100%,5e-64,84.44,1401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109634.1?report=genbank&log$=nucltop&blast_rank=25&RID=8SCDDADF01N"",""NR_109634.1"")"
"Porphyromonas crevioricanis strain VPB 4875 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,243,243,100%,5e-64,84.38,1483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026137.1?report=genbank&log$=nucltop&blast_rank=26&RID=8SCDDADF01N"",""NR_026137.1"")"
"Porphyromonas crevioricanis strain ATCC 55563 16S ribosomal RNA, partial sequence",Porphyromonas crevioricanis,239,239,100%,6e-63,84.05,1430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112783.1?report=genbank&log$=nucltop&blast_rank=27&RID=8SCDDADF01N"",""NR_112783.1"")"
"Pontibacter toksunensis strain ZLD-7 16S ribosomal RNA, partial sequence",Pontibacter toksunensis,237,237,100%,2e-62,83.98,1412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_135706.1?report=genbank&log$=nucltop&blast_rank=28&RID=8SCDDADF01N"",""NR_135706.1"")"
"Pontibacter deserti strain JC215 16S ribosomal RNA, partial sequence",Pontibacter deserti,237,237,100%,2e-62,84.05,1369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_133822.1?report=genbank&log$=nucltop&blast_rank=29&RID=8SCDDADF01N"",""NR_133822.1"")"
"Pontibacter beigongshangensis strain T6-1 16S ribosomal RNA, partial sequence",Pontibacter beigongshangensis,231,231,100%,1e-60,83.46,1443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_165736.1?report=genbank&log$=nucltop&blast_rank=30&RID=8SCDDADF01N"",""NR_165736.1"")"
"Paraprevotella xylaniphila strain JCM 14860 16S ribosomal RNA, partial sequence",Paraprevotella xylaniphila,231,231,100%,1e-60,83.46,1488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113078.1?report=genbank&log$=nucltop&blast_rank=31&RID=8SCDDADF01N"",""NR_113078.1"")"
"Paraprevotella xylaniphila YIT 11841 16S ribosomal RNA, partial sequence",Paraprevotella xylaniphila YIT 11841,231,231,100%,1e-60,83.46,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041627.1?report=genbank&log$=nucltop&blast_rank=32&RID=8SCDDADF01N"",""NR_041627.1"")"
"Pontibacter populi strain HYL7-15 16S ribosomal RNA, partial sequence",Pontibacter populi,228,228,100%,1e-59,83.27,1439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109067.1?report=genbank&log$=nucltop&blast_rank=33&RID=8SCDDADF01N"",""NR_109067.1"")"
"Pontibacter chinhatensis strain LP51 16S ribosomal RNA, partial sequence",Pontibacter chinhatensis,226,226,100%,5e-59,83.20,1435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_136486.1?report=genbank&log$=nucltop&blast_rank=34&RID=8SCDDADF01N"",""NR_136486.1"")"
"Pontibacter humi strain SWU8 16S ribosomal RNA, partial sequence",Pontibacter humi,226,226,100%,5e-59,83.33,1447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_134791.1?report=genbank&log$=nucltop&blast_rank=35&RID=8SCDDADF01N"",""NR_134791.1"")"
"Coprobacter fastidiosus NSB1 16S ribosomal RNA, partial sequence",Coprobacter fastidiosus NSB1,226,226,100%,5e-59,83.07,1490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_118316.1?report=genbank&log$=nucltop&blast_rank=36&RID=8SCDDADF01N"",""NR_118316.1"")"
"Pedobacter vanadiisoli strain XNV015 16S ribosomal RNA, partial sequence",Pedobacter vanadiisoli,226,226,100%,5e-59,83.00,1444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_153693.1?report=genbank&log$=nucltop&blast_rank=37&RID=8SCDDADF01N"",""NR_153693.1"")"
"Parabacteroides chartae strain NS31-3 16S ribosomal RNA, partial sequence",Parabacteroides chartae,226,226,100%,5e-59,83.14,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109439.1?report=genbank&log$=nucltop&blast_rank=38&RID=8SCDDADF01N"",""NR_109439.1"")"
"Pontibacter mucosus strain PB3 16S ribosomal RNA, partial sequence",Pontibacter mucosus,226,226,100%,5e-59,83.20,1432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_149281.1?report=genbank&log$=nucltop&blast_rank=39&RID=8SCDDADF01N"",""NR_149281.1"")"
"Rufibacter glacialis strain MDT1-10-3 16S ribosomal RNA, partial sequence",Rufibacter glacialis,226,226,100%,5e-59,83.27,1460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_147754.1?report=genbank&log$=nucltop&blast_rank=40&RID=8SCDDADF01N"",""NR_147754.1"")"
"Pontibacter niistensis strain NII-0905 16S ribosomal RNA, partial sequence",Pontibacter niistensis,226,226,100%,5e-59,83.20,1439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_116852.1?report=genbank&log$=nucltop&blast_rank=41&RID=8SCDDADF01N"",""NR_116852.1"")"
"Falsiporphyromonas endometrii strain LMM 40 16S ribosomal RNA, partial sequence",Falsiporphyromonas endometrii,226,226,100%,5e-59,83.14,1459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_133742.1?report=genbank&log$=nucltop&blast_rank=42&RID=8SCDDADF01N"",""NR_133742.1"")"
"Porphyromonas endodontalis strain ATCC 35406 16S ribosomal RNA, partial sequence",Porphyromonas endodontalis,226,226,100%,5e-59,83.27,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_042803.1?report=genbank&log$=nucltop&blast_rank=43&RID=8SCDDADF01N"",""NR_042803.1"")"
"Parabacteroides chongii strain YMC B3181 16S ribosomal RNA, partial sequence",Parabacteroides chongii,226,226,100%,5e-59,83.00,1523,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_165699.1?report=genbank&log$=nucltop&blast_rank=44&RID=8SCDDADF01N"",""NR_165699.1"")"
"Pontibacter ruber strain JC213 16S ribosomal RNA, partial sequence",Pontibacter ruber,226,226,100%,5e-59,83.20,1355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_133823.1?report=genbank&log$=nucltop&blast_rank=45&RID=8SCDDADF01N"",""NR_133823.1"")"
"Pontibacter diazotrophicus strain H4X 16S ribosomal RNA, partial sequence",Pontibacter diazotrophicus,226,226,100%,5e-59,83.20,1445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_126288.1?report=genbank&log$=nucltop&blast_rank=46&RID=8SCDDADF01N"",""NR_126288.1"")"
"Pedobacter rhizosphaerae strain 01-96 16S ribosomal RNA, partial sequence",Pedobacter rhizosphaerae,226,226,100%,5e-59,83.00,1486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_122096.1?report=genbank&log$=nucltop&blast_rank=47&RID=8SCDDADF01N"",""NR_122096.1"")"
"Macellibacteroides fermentans strain LIND7H 16S ribosomal RNA, partial sequence",Macellibacteroides fermentans,226,226,100%,5e-59,83.14,1502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_117913.1?report=genbank&log$=nucltop&blast_rank=48&RID=8SCDDADF01N"",""NR_117913.1"")"
"Porphyromonas endodontalis strain JCM 8526 16S ribosomal RNA, partial sequence",Porphyromonas endodontalis,226,226,100%,5e-59,83.27,1435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113085.1?report=genbank&log$=nucltop&blast_rank=49&RID=8SCDDADF01N"",""NR_113085.1"")"
"Porphyromonas cangingivalis strain JCM 15983 16S ribosomal RNA, partial sequence",Porphyromonas cangingivalis,226,226,100%,5e-59,83.07,1493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113080.1?report=genbank&log$=nucltop&blast_rank=50&RID=8SCDDADF01N"",""NR_113080.1"")"
"Pontibacter locisalis strain Sy30 16S ribosomal RNA, partial sequence",Pontibacter locisalis,224,224,99%,2e-58,83.14,1446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_146703.1?report=genbank&log$=nucltop&blast_rank=51&RID=8SCDDADF01N"",""NR_146703.1"")"
"Porphyromonas cangingivalis strain VPB 4874 16S ribosomal RNA, partial sequence",Porphyromonas cangingivalis,222,222,100%,6e-58,82.68,1484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026136.1?report=genbank&log$=nucltop&blast_rank=52&RID=8SCDDADF01N"",""NR_026136.1"")"
"Pontibacter brevis strain XAAS-2 16S ribosomal RNA, partial sequence",Pontibacter brevis,220,220,100%,2e-57,82.81,1489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_159274.1?report=genbank&log$=nucltop&blast_rank=53&RID=8SCDDADF01N"",""NR_159274.1"")"
"Pontibacter chitinilyticus strain 17gy-14 16S ribosomal RNA, partial sequence",Pontibacter chitinilyticus,220,220,100%,2e-57,82.81,1487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_164952.1?report=genbank&log$=nucltop&blast_rank=54&RID=8SCDDADF01N"",""NR_164952.1"")"
"Rufibacter quisquiliarum strain CAI-18b 16S ribosomal RNA, partial sequence",Rufibacter quisquiliarum,220,220,100%,2e-57,82.88,1434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_153696.1?report=genbank&log$=nucltop&blast_rank=55&RID=8SCDDADF01N"",""NR_153696.1"")"
"Parabacteroides merdae ATCC 43184 16S ribosomal RNA, partial sequence",Parabacteroides merdae ATCC 43184,220,220,100%,2e-57,82.61,1405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_119166.1?report=genbank&log$=nucltop&blast_rank=56&RID=8SCDDADF01N"",""NR_119166.1"")"
"Bacteroides gallinaceum strain C13EG186 16S ribosomal RNA, partial sequence",Bacteroides gallinaceum,220,220,100%,2e-57,83.14,1489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_148822.1?report=genbank&log$=nucltop&blast_rank=57&RID=8SCDDADF01N"",""NR_148822.1"")"
"Pontibacter korlensis strain X14-1 16S ribosomal RNA, partial sequence",Pontibacter korlensis,220,220,100%,2e-57,82.81,1435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_044004.1?report=genbank&log$=nucltop&blast_rank=58&RID=8SCDDADF01N"",""NR_044004.1"")"
"Pontibacter rhizosphera strain IMTB-1969 16S ribosomal RNA, partial sequence",Pontibacter rhizosphera,220,220,100%,2e-57,82.81,1467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_132603.1?report=genbank&log$=nucltop&blast_rank=59&RID=8SCDDADF01N"",""NR_132603.1"")"
"Parabacteroides merdae strain JCM 9497 16S ribosomal RNA, partial sequence",Parabacteroides merdae,220,220,100%,2e-57,82.61,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041343.1?report=genbank&log$=nucltop&blast_rank=60&RID=8SCDDADF01N"",""NR_041343.1"")"
"Rufibacter ruber strain CCM 8646 16S ribosomal RNA, partial sequence",Rufibacter ruber,220,220,100%,2e-57,82.88,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_152665.1?report=genbank&log$=nucltop&blast_rank=61&RID=8SCDDADF01N"",""NR_152665.1"")"
"Pontibacter xinjiangensis strain 311-10 16S ribosomal RNA, partial sequence",Pontibacter xinjiangensis,220,220,100%,2e-57,82.81,1448,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_116530.1?report=genbank&log$=nucltop&blast_rank=62&RID=8SCDDADF01N"",""NR_116530.1"")"
"Pontibacter akesuensis strain AKS 1 16S ribosomal RNA, partial sequence",Pontibacter akesuensis,220,220,100%,2e-57,82.88,1408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_043930.1?report=genbank&log$=nucltop&blast_rank=63&RID=8SCDDADF01N"",""NR_043930.1"")"
"Parapedobacter soli strain DCY14 16S ribosomal RNA, partial sequence",Parapedobacter soli,220,220,100%,2e-57,82.81,1468,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_044119.1?report=genbank&log$=nucltop&blast_rank=64&RID=8SCDDADF01N"",""NR_044119.1"")"
"Pedobacter xixiisoli strain S27 16S ribosomal RNA, partial sequence",Pedobacter xixiisoli,215,215,100%,1e-55,82.21,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_134129.1?report=genbank&log$=nucltop&blast_rank=65&RID=8SCDDADF01N"",""NR_134129.1"")"
"Bacteroides salanitronis strain DSM 18170 16S ribosomal RNA, partial sequence",Phocaeicola salanitronis,215,215,100%,1e-55,82.49,1520,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_074616.1?report=genbank&log$=nucltop&blast_rank=66&RID=8SCDDADF01N"",""NR_074616.1"")"
"Pontibacter rugosus strain KYW1030 16S ribosomal RNA, partial sequence",Pontibacter rugosus,215,215,100%,1e-55,82.42,1441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_152663.1?report=genbank&log$=nucltop&blast_rank=67&RID=8SCDDADF01N"",""NR_152663.1"")"
"Dysgonomonas massiliensis strain Marseille-P4356 16S ribosomal RNA, partial sequence",Dysgonomonas massiliensis,215,215,100%,1e-55,82.28,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_164950.1?report=genbank&log$=nucltop&blast_rank=68&RID=8SCDDADF01N"",""NR_164950.1"")"
"Pontibacter saemangeumensis strain GCM0142 16S ribosomal RNA, partial sequence",Pontibacter saemangeumensis,215,215,100%,1e-55,82.56,1372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109499.1?report=genbank&log$=nucltop&blast_rank=69&RID=8SCDDADF01N"",""NR_109499.1"")"
"Pedobacter nanyangensis strain Q-4 16S ribosomal RNA, partial sequence",Pedobacter nanyangensis,215,215,100%,1e-55,82.21,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_137392.1?report=genbank&log$=nucltop&blast_rank=70&RID=8SCDDADF01N"",""NR_137392.1"")"
"Porphyromonas gingivicanis strain NUM 301 16S ribosomal RNA, partial sequence",Porphyromonas gingivicanis,215,215,100%,1e-55,82.49,1457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104833.1?report=genbank&log$=nucltop&blast_rank=71&RID=8SCDDADF01N"",""NR_104833.1"")"
"Parapedobacter deserti strain N5SSJ16 16S ribosomal RNA, partial sequence",Parapedobacter deserti,215,215,100%,1e-55,82.42,1413,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_157620.1?report=genbank&log$=nucltop&blast_rank=72&RID=8SCDDADF01N"",""NR_157620.1"")"
"Bacteroides caecicola strain C13EG70 16S ribosomal RNA, partial sequence",Bacteroides caecicola,215,215,100%,1e-55,82.49,1492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_148821.1?report=genbank&log$=nucltop&blast_rank=73&RID=8SCDDADF01N"",""NR_148821.1"")"
"Bacteroides caecigallinarum strain C13EG111 16S ribosomal RNA, partial sequence",Bacteroides caecigallinarum,215,215,100%,1e-55,82.21,1489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_145844.1?report=genbank&log$=nucltop&blast_rank=74&RID=8SCDDADF01N"",""NR_145844.1"")"
"Chryseobacterium frigidum strain D07 16S ribosomal RNA, partial sequence",Chryseobacterium frigidum,215,215,100%,1e-55,82.49,1409,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_148657.1?report=genbank&log$=nucltop&blast_rank=75&RID=8SCDDADF01N"",""NR_148657.1"")"
"Pontibacter yuliensis strain H9X 16S ribosomal RNA, partial sequence",Pontibacter yuliensis,215,215,100%,1e-55,82.56,1390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_133825.1?report=genbank&log$=nucltop&blast_rank=76&RID=8SCDDADF01N"",""NR_133825.1"")"
"Porphyromonas gingivicanis strain ATCC 55562 16S ribosomal RNA, partial sequence",Porphyromonas gingivicanis,215,215,100%,1e-55,82.49,1228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115855.1?report=genbank&log$=nucltop&blast_rank=77&RID=8SCDDADF01N"",""NR_115855.1"")"
"Porphyromonas gingivicanis strain JCM 15907 16S ribosomal RNA, partial sequence",Porphyromonas gingivicanis,215,215,100%,1e-55,82.49,1494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113087.1?report=genbank&log$=nucltop&blast_rank=78&RID=8SCDDADF01N"",""NR_113087.1"")"
"Porphyromonas circumdentaria strain JCM 13864 16S ribosomal RNA, partial sequence",Porphyromonas circumdentaria,215,215,100%,1e-55,82.49,1476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113083.1?report=genbank&log$=nucltop&blast_rank=79&RID=8SCDDADF01N"",""NR_113083.1"")"
"Rufibacter soli strain FJY1 16S ribosomal RNA, partial sequence",Rufibacter soli,215,215,100%,1e-55,82.49,1444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_169379.1?report=genbank&log$=nucltop&blast_rank=80&RID=8SCDDADF01N"",""NR_169379.1"")"
"Parapedobacter lycopersici strain T16R-256 16S ribosomal RNA, partial sequence",Parapedobacter lycopersici,215,215,100%,1e-55,82.42,1476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_158085.1?report=genbank&log$=nucltop&blast_rank=81&RID=8SCDDADF01N"",""NR_158085.1"")"
"Pedobacter zeae strain 22 16S ribosomal RNA, partial sequence",Pedobacter zeae,215,215,100%,1e-55,82.21,1480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156064.1?report=genbank&log$=nucltop&blast_rank=82&RID=8SCDDADF01N"",""NR_156064.1"")"
"Porphyromonas gingivicanis strain ATCC 55562 16S ribosomal RNA, partial sequence",Porphyromonas gingivicanis,215,215,100%,1e-55,82.49,1423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112782.1?report=genbank&log$=nucltop&blast_rank=83&RID=8SCDDADF01N"",""NR_112782.1"")"
"Bacteroides salanitronis strain BL78 16S ribosomal RNA, partial sequence",Phocaeicola salanitronis,215,215,100%,1e-55,82.49,1463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041447.1?report=genbank&log$=nucltop&blast_rank=84&RID=8SCDDADF01N"",""NR_041447.1"")"
"Cruoricaptor ignavus strain IMMIB L-12475 16S ribosomal RNA, partial sequence",Cruoricaptor ignavus,215,215,100%,1e-55,82.21,1535,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_108875.1?report=genbank&log$=nucltop&blast_rank=85&RID=8SCDDADF01N"",""NR_108875.1"")"
"Pontibacter roseus strain SRC-1 16S ribosomal RNA, partial sequence",Pontibacter roseus,213,213,99%,4e-55,82.42,1401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_042420.1?report=genbank&log$=nucltop&blast_rank=86&RID=8SCDDADF01N"",""NR_042420.1"")"
